ID,Name,Team,Pos,Role/Order,DH,Age,Arch,Trait1,Trait2,Trait3,TraitCount,Contact,Con.Timing,Con.Barrel,Power,Pow.Str,Pow.BatSpd,Pow.Elev,Disc,Disc.Eye,Disc.Restr,Speed,Spd.Sprint,Spd.Inst,Defense,def.Range,def.reaction,def.glove,def.ArmStr,def.ArmAcc,Max Stam,Cur Stam,Velo,Vel.ArmSpd,Vel.Decept,Control,Ctrl.Acc,Ctrl.Cmd,Move,Mov.Spin,Mov.Bite,Cur Hit Strk,Max Hit Strk,Cur OBP Strk,Max OBP Strk,Cur Scoreless Outs,Max Scoreless Outs,Recent Form
2.026E+11,Jim Johnson,DiamondBucs,SS,1,No,29,Jeter,Platoon Punisher,-,-,1,85,83,88,62,56,70,60,74,76,72,66,61,71,66,56,60,75,73,66,68,68,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Cy Gehrig,DiamondBucs,3B,7,No,22,Schmidt,-,-,-,0,65,65,66,85,90,83,83,82,85,80,52,49,55,72,46,86,81,91,88,59,59,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Joseph Gehrig,DiamondBucs,C,4,No,24,Molina,-,-,-,0,69,65,74,60,66,61,53,63,71,56,45,45,45,72,40,75,93,80,88,58,58,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Brian Walker,DiamondBucs,2B,3,No,26,Kent,-,-,-,0,77,79,75,78,81,71,82,68,73,64,45,45,45,62,43,86,66,79,77,76,76,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,James Thomas,DiamondBucs,LF,9,No,23,Rickey,-,-,-,0,78,84,73,63,59,76,56,84,85,83,92,88,96,74,94,52,71,59,58,69,69,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Tyler Jones,DiamondBucs,RF,2,No,33,Gwynn,Launch Angle God,-,-,1,89,92,87,48,45,54,45,88,92,84,62,53,71,67,63,60,77,65,62,73,73,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Zachary Ramirez,DiamondBucs,3B,8,Yes,32,Schmidt,-,-,-,0,69,62,77,90,97,91,83,79,82,76,48,45,52,69,40,93,91,77,77,74,74,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Robert Anderson,DiamondBucs,CF,6,No,22,Ichiro,Speed Demon,-,-,1,82,88,77,45,45,45,45,67,78,57,83,80,87,79,77,82,83,80,76,73,73,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Jackie Johnson,DiamondBucs,2B,Bench,No,31,Zobrist,-,-,-,0,77,70,84,80,87,88,67,74,72,76,73,68,78,67,58,59,75,73,64,69,69,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Eric Griffey,DiamondBucs,1B,5,No,25,Gehrig,Unfazed,-,-,1,92,93,92,83,89,86,75,83,83,83,45,45,45,62,44,60,86,66,51,64,64,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Babe Moore,DiamondBucs,C,Bench,No,24,Mauer,Launch Angle God,-,-,1,80,86,74,57,63,57,53,83,87,80,53,54,52,61,54,60,60,68,73,72,72,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Hank Hernandez,DiamondBucs,CF,Bench,No,20,Mays,Gold Glover,-,-,1,65,59,71,80,85,75,80,70,72,68,81,81,81,86,81,90,94,91,75,69,69,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Brandon Gonzalez,DiamondBucs,LF,Bench,No,19,Zobrist,-,-,-,0,76,69,84,69,57,82,70,78,76,80,71,68,75,70,66,72,73,79,64,68,68,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Steven Mays,DiamondBucs,P,SP1,No,22,Ryan,Pitch to Contact,Escape Artist,-,2,15,15,15,15,15,15,15,15,15,15,12,10,15,51,50,50,50,60,50,92,92,93,96,91,58,51,65,77,83,72,0,0,0,0,0,0,
2.026E+11,Jim Brown,DiamondBucs,P,SP2,No,34,Wakefield,Lights Out,-,-,1,15,15,15,15,15,15,15,15,15,15,17,19,15,51,50,50,50,60,50,95,95,46,45,47,67,68,67,69,45,93,0,0,0,0,0,0,
2.026E+11,Hank Miller,DiamondBucs,P,SP3,No,29,Buehrle,Marathon Man,-,-,1,15,15,15,15,15,15,15,15,15,15,19,23,15,51,50,50,50,60,50,92,92,66,58,75,78,84,73,74,61,88,0,0,0,0,0,0,
2.026E+11,Brandon Ryan,DiamondBucs,P,SP4,No,28,Pedro,Rubber Arm,-,-,1,15,15,15,15,15,15,15,15,15,15,19,24,15,51,50,50,50,60,50,80,80,86,84,89,77,71,83,90,88,92,0,0,0,0,0,0,
2.026E+11,David Ramirez,DiamondBucs,P,SP5,No,27,Pedro,Escape Artist,Pitch to Contact,Lights Out,3,15,15,15,15,15,15,15,15,15,15,20,26,15,51,50,50,50,60,50,80,80,86,89,84,80,80,80,86,95,78,0,0,0,0,0,0,
2.026E+11,William Smith,DiamondBucs,P,CL,No,23,Rivera,Putaway Pitcher,-,-,1,15,15,15,15,15,15,15,15,15,15,19,23,15,51,50,50,50,60,50,23,23,77,77,78,85,88,83,84,81,88,0,0,0,0,0,0,
